symbol,market,type,description,currency,point_size,slippage,carryoffset,rollcycle,rolloffset,expmon,expday
CL,CME,Energy,Oil,USD,1000,0.0145328653,-1,Z,50,prev,25
KC,CME,Food,Coffee,USD,1000,0.0145328653,-1,Z,50,prev,25
